CPF;Nome;Email;Celular1;Celular2
81586774522;Beatriz Almeida;beatriz.almeida94@empresa.com.br;9942376297;9963311732
85020966304;Mariana Lima;mariana.lima23@outlook.com;9898344938;9878757240
17134201554;Ana Souza;ana.souza75@outlook.com;9855669087;
95759819283;Fernanda Costa;fernanda.costa32@empresa.com.br;9962396680;9967325031
70099067692;Ana Souza;ana.souza98@empresa.com.br;9937690641;9916729385
43626511952;Guilherme Martins;guilherme.martins15@outlook.com;9810475311;
88609093417;Guilherme Martins;guilherme.martins13@outlook.com;9880743865;9810747876
00324228651;Fernanda Costa;fernanda.costa89@yahoo.com;9928732046;9966597635
11336145072;Fernanda Costa;fernanda.costa72@empresa.com.br;9989384323;9964488185
26907061805;Carlos Silva;carlos.silva76@empresa.com.br;9928070556;9892918203
16910486820;Pedro Oliveira;pedro.oliveira30@yahoo.com;9965973925;
10236319205;Mariana Lima;mariana.lima96@yahoo.com;9945552479;
98190959999;Carlos Silva;carlos.silva10@empresa.com.br;9875075618;9855540929
96772798406;Ana Souza;ana.souza69@outlook.com;9933831454;
54045591524;Ana Souza;ana.souza10@gmail.com;9805921251;
80116310200;Pedro Oliveira;pedro.oliveira92@gmail.com;9808570267;
93707782336;Lucas Rocha;lucas.rocha49@gmail.com;9923895993;9803329721
03746080088;Pedro Oliveira;pedro.oliveira95@empresa.com.br;9925717196;
58342931900;Guilherme Martins;guilherme.martins52@gmail.com;9863860957;9924359034
22686695218;Ana Souza;ana.souza32@empresa.com.br;9927591733;
18236490840;Camila Santos;camila.santos48@gmail.com;9916973356;9855686273
90163757240;Mariana Lima;mariana.lima39@outlook.com;9830420502;
01186405937;Ana Souza;ana.souza18@empresa.com.br;9977138774;
40103268758;João Mendes;joão.mendes43@gmail.com;9842597784;9969875312
62868135439;João Mendes;joão.mendes89@outlook.com;9932963219;
24107544060;Pedro Oliveira;pedro.oliveira87@gmail.com;9984362278;
08083023531;Camila Santos;camila.santos35@empresa.com.br;9931072727;
56606376980;Fernanda Costa;fernanda.costa31@outlook.com;9820632580;
42595603957;João Mendes;joão.mendes41@empresa.com.br;9831119239;
00360967841;Pedro Oliveira;pedro.oliveira48@empresa.com.br;9890620908;9816101849
25289306587;Lucas Rocha;lucas.rocha49@outlook.com;9925297969;9981484615
47758858635;Lucas Rocha;lucas.rocha37@empresa.com.br;9829062226;
87033545711;Ana Souza;ana.souza24@outlook.com;9821172195;
39896821720;Mariana Lima;mariana.lima14@empresa.com.br;9825898911;9898431745
10606150960;Beatriz Almeida;beatriz.almeida80@empresa.com.br;9954568152;
64685499220;Pedro Oliveira;pedro.oliveira75@yahoo.com;9891204754;9988966824
95860572751;Beatriz Almeida;beatriz.almeida55@empresa.com.br;9813981882;
70110866096;Guilherme Martins;guilherme.martins27@gmail.com;9980054160;9891134703
26657067682;Mariana Lima;mariana.lima21@yahoo.com;9957268373;9808219951
41136460314;Camila Santos;camila.santos19@outlook.com;9902386286;9964237984
21386939617;João Mendes;joão.mendes16@yahoo.com;9817775201;
37264212548;Lucas Rocha;lucas.rocha13@yahoo.com;9906638191;9931884029
55487921210;Mariana Lima;mariana.lima65@empresa.com.br;9991714556;
68165664166;Pedro Oliveira;pedro.oliveira12@yahoo.com;9979268078;
74034915641;Mariana Lima;mariana.lima36@empresa.com.br;9975860813;9889304881
74320266960;Fernanda Costa;fernanda.costa96@empresa.com.br;9968337844;9988695690
94887137206;Guilherme Martins;guilherme.martins71@yahoo.com;9811927942;
00845394614;Lucas Rocha;lucas.rocha58@outlook.com;9831598264;
48230302901;João Mendes;joão.mendes95@gmail.com;9852208917;
26867960227;Carlos Silva;carlos.silva98@yahoo.com;9931893286;
33039729748;Fernanda Costa;fernanda.costa87@outlook.com;9840893682;
71342306007;Ana Souza;ana.souza17@yahoo.com;9995995852;9989048142
36415288954;Mariana Lima;mariana.lima54@outlook.com;9806110953;9936436911
15038137202;Guilherme Martins;guilherme.martins50@yahoo.com;9957950912;
28204196822;Lucas Rocha;lucas.rocha85@empresa.com.br;9892846741;
99585189372;Mariana Lima;mariana.lima37@gmail.com;9992704454;
38312096264;Ana Souza;ana.souza85@yahoo.com;9803130862;9836522744
